,StartTime,Dur,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,sTos,dTos,TotPkts,TotBytes,SrcBytes,Label,Botnet,feature
662089,2011/08/18 12:51:54.532007,0.000273,1,147.32.84.170,48148,  <->,147.32.80.9,53,CON,0.0,0.0,2,208,71,flow=From-Normal-V51-Stribrek,False,1.0
662090,2011/08/18 12:51:54.532681,0.00020299999999999997,1,147.32.84.170,45650,  <->,147.32.80.9,53,CON,0.0,0.0,2,208,71,flow=From-Normal-V51-Stribrek,False,1.0
662091,2011/08/18 12:51:54.533251,0.000425,1,147.32.84.170,41610,  <->,147.32.80.9,53,CON,0.0,0.0,2,241,71,flow=From-Normal-V51-Stribrek,False,1.0
662092,2011/08/18 12:51:54.534233,0.8518459999999999,2,147.32.84.170,57159,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,10,2621,1211,flow=From-Normal-V51-Stribrek,False,2.0
662098,2011/08/18 12:51:54.691940,0.000234,1,147.32.84.170,34602,  <->,147.32.80.9,53,CON,0.0,0.0,2,208,71,flow=From-Normal-V51-Stribrek,False,1.0
662099,2011/08/18 12:51:54.692580,0.000304,1,147.32.84.170,43798,  <->,147.32.80.9,53,CON,0.0,0.0,2,208,71,flow=From-Normal-V51-Stribrek,False,1.0
662100,2011/08/18 12:51:54.693297,0.00028700000000000004,1,147.32.84.170,36270,  <->,147.32.80.9,53,CON,0.0,0.0,2,241,71,flow=From-Normal-V51-Stribrek,False,1.0
662101,2011/08/18 12:51:54.694123,1.519432,2,147.32.84.170,57160,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,10,2621,1211,flow=From-Normal-V51-Stribrek,False,2.0
662103,2011/08/18 12:51:54.851777,0.00025299999999999997,1,147.32.84.170,42402,  <->,147.32.80.9,53,CON,0.0,0.0,2,208,71,flow=From-Normal-V51-Stribrek,False,1.0
662104,2011/08/18 12:51:54.852403,0.00015900000000000002,1,147.32.84.170,51740,  <->,147.32.80.9,53,CON,0.0,0.0,2,208,71,flow=From-Normal-V51-Stribrek,False,0.0
662105,2011/08/18 12:51:54.852956,0.00047599999999999997,1,147.32.84.170,42753,  <->,147.32.80.9,53,CON,0.0,0.0,2,241,71,flow=From-Normal-V51-Stribrek,False,1.0
662106,2011/08/18 12:51:54.853952,0.8453120000000001,2,147.32.84.170,57161,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,10,2621,1211,flow=From-Normal-V51-Stribrek,False,2.0
662157,2011/08/18 12:51:55.428495,0.007170999999999999,2,147.32.84.170,57162,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,13,5903,1092,flow=From-Normal-V51-Stribrek,False,1.0
662158,2011/08/18 12:51:55.429276,0.004959000000000001,2,147.32.84.170,57163,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,10,2069,974,flow=From-Normal-V51-Stribrek,False,1.0
662373,2011/08/18 12:51:59.863177,0.00028399999999999996,1,147.32.84.170,56902,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
662374,2011/08/18 12:51:59.864048,0.00033,1,147.32.84.170,40161,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
662375,2011/08/18 12:51:59.865049,0.017793,2,147.32.84.170,55468,   ->,209.85.148.103,80,FSA_FSA,0.0,0.0,6,412,272,flow=From-Normal-V51-Stribrek,False,1.0
662410,2011/08/18 12:52:00.634634,0.48545900000000003,2,147.32.84.170,57165,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,21,14493,1282,flow=From-Normal-V51-Stribrek,False,1.0
662437,2011/08/18 12:52:01.151055,0.004221,2,147.32.84.170,57166,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,11,1624,1066,flow=From-Normal-V51-Stribrek,False,1.0
662438,2011/08/18 12:52:01.151110,0.005031,2,147.32.84.170,57167,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,10,1556,999,flow=From-Normal-V51-Stribrek,False,1.0
662439,2011/08/18 12:52:01.151125,0.004416,2,147.32.84.170,57168,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,10,1548,992,flow=From-Normal-V51-Stribrek,False,1.0
662441,2011/08/18 12:52:01.157037,0.00426,2,147.32.84.170,57169,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,10,1547,991,flow=From-Normal-V51-Stribrek,False,1.0
662442,2011/08/18 12:52:01.157317,0.005158,2,147.32.84.170,57170,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,10,1550,994,flow=From-Normal-V51-Stribrek,False,1.0
662443,2011/08/18 12:52:01.157324,0.005144,2,147.32.84.170,57171,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,10,1553,997,flow=From-Normal-V51-Stribrek,False,1.0
662444,2011/08/18 12:52:01.157466,0.005994,2,147.32.84.170,57172,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,10,1545,990,flow=From-Normal-V51-Stribrek,False,1.0
662445,2011/08/18 12:52:01.158017,0.005436,2,147.32.84.170,57173,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,10,1554,998,flow=From-Normal-V51-Stribrek,False,1.0
662446,2011/08/18 12:52:01.158123,0.005593,2,147.32.84.170,57174,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,10,1558,1003,flow=From-Normal-V51-Stribrek,False,1.0
662447,2011/08/18 12:52:01.160576,0.0061329999999999996,2,147.32.84.170,57175,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,10,1560,1005,flow=From-Normal-V51-Stribrek,False,1.0
662448,2011/08/18 12:52:01.162915,0.005651,2,147.32.84.170,57176,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,10,1547,992,flow=From-Normal-V51-Stribrek,False,1.0
662449,2011/08/18 12:52:01.163042,0.005187,2,147.32.84.170,57177,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,10,1554,997,flow=From-Normal-V51-Stribrek,False,1.0
662450,2011/08/18 12:52:01.163227,0.005546,2,147.32.84.170,57178,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,10,1584,1028,flow=From-Normal-V51-Stribrek,False,1.0
662451,2011/08/18 12:52:01.163238,0.005546,2,147.32.84.170,57179,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,10,1582,1026,flow=From-Normal-V51-Stribrek,False,1.0
662452,2011/08/18 12:52:01.163332,0.005448,2,147.32.84.170,57180,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,10,1563,1008,flow=From-Normal-V51-Stribrek,False,1.0
662453,2011/08/18 12:52:01.164730,0.0060479999999999996,2,147.32.84.170,57181,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,10,1550,994,flow=From-Normal-V51-Stribrek,False,1.0
662454,2011/08/18 12:52:01.167888,0.004674,2,147.32.84.170,57182,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,10,1585,1029,flow=From-Normal-V51-Stribrek,False,1.0
662455,2011/08/18 12:52:01.168065,0.011474,2,147.32.84.170,57183,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,45,39032,1731,flow=From-Normal-V51-Stribrek,False,1.0
662456,2011/08/18 12:52:01.168120,0.012916,2,147.32.84.170,57184,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,55,49434,1942,flow=From-Normal-V51-Stribrek,False,1.0
662481,2011/08/18 12:52:01.384518,0.006445,2,147.32.84.170,57185,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,15,7864,1108,flow=From-Normal-V51-Stribrek,False,1.0
662482,2011/08/18 12:52:01.385497,0.006212,2,147.32.84.170,57186,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,17,9546,1174,flow=From-Normal-V51-Stribrek,False,1.0
662483,2011/08/18 12:52:01.385502,0.007213,2,147.32.84.170,57187,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,15,8772,1110,flow=From-Normal-V51-Stribrek,False,1.0
662484,2011/08/18 12:52:01.385509,0.006195,2,147.32.84.170,57188,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,15,8427,1107,flow=From-Normal-V51-Stribrek,False,1.0
662485,2011/08/18 12:52:01.385576,0.005391,2,147.32.84.170,57189,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,11,2541,1036,flow=From-Normal-V51-Stribrek,False,1.0
662486,2011/08/18 12:52:01.385580,0.005375,2,147.32.84.170,57190,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,10,1756,970,flow=From-Normal-V51-Stribrek,False,1.0
662487,2011/08/18 12:52:01.389805,0.004659,2,147.32.84.170,57191,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,10,1916,973,flow=From-Normal-V51-Stribrek,False,1.0
662488,2011/08/18 12:52:01.389869,0.004604,2,147.32.84.170,57192,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,13,5630,1040,flow=From-Normal-V51-Stribrek,False,1.0
662489,2011/08/18 12:52:01.389876,0.005475,2,147.32.84.170,57193,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,10,2009,973,flow=From-Normal-V51-Stribrek,False,1.0
662973,2011/08/18 12:52:09.863009,0.00038500000000000003,1,147.32.84.170,45021,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
662974,2011/08/18 12:52:09.863934,0.000332,1,147.32.84.170,49405,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
662975,2011/08/18 12:52:09.865075,0.018782,2,147.32.84.170,39333,   ->,209.85.148.104,80,FSA_FSA,0.0,0.0,7,478,272,flow=From-Normal-V51-Stribrek,False,1.0
663192,2011/08/18 12:52:13.369527,0.32024400000000003,2,147.32.84.170,57195,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,22,16304,1320,flow=From-Normal-V51-Stribrek,False,1.0
663224,2011/08/18 12:52:13.727753,0.004714,2,147.32.84.170,57196,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,10,1559,1001,flow=From-Normal-V51-Stribrek,False,1.0
663225,2011/08/18 12:52:13.727885,0.004841,2,147.32.84.170,57197,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,10,1557,1000,flow=From-Normal-V51-Stribrek,False,1.0
663226,2011/08/18 12:52:13.729807,0.005758,2,147.32.84.170,57198,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,10,1549,993,flow=From-Normal-V51-Stribrek,False,1.0
663227,2011/08/18 12:52:13.729962,0.004007999999999999,2,147.32.84.170,57199,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,10,1548,992,flow=From-Normal-V51-Stribrek,False,1.0
663228,2011/08/18 12:52:13.730154,0.006831,2,147.32.84.170,57200,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,10,1551,995,flow=From-Normal-V51-Stribrek,False,1.0
663229,2011/08/18 12:52:13.730161,0.00658,2,147.32.84.170,57201,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,10,1554,998,flow=From-Normal-V51-Stribrek,False,1.0
663230,2011/08/18 12:52:13.731844,0.004903,2,147.32.84.170,57202,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,10,1583,1027,flow=From-Normal-V51-Stribrek,False,1.0
663231,2011/08/18 12:52:13.731902,0.0052060000000000006,2,147.32.84.170,57203,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,10,1546,991,flow=From-Normal-V51-Stribrek,False,1.0
663232,2011/08/18 12:52:13.733387,0.004124,2,147.32.84.170,57204,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,10,1555,999,flow=From-Normal-V51-Stribrek,False,1.0
663233,2011/08/18 12:52:13.734539,0.004589,2,147.32.84.170,57205,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,10,1559,1004,flow=From-Normal-V51-Stribrek,False,1.0
663234,2011/08/18 12:52:13.736450,0.0047090000000000005,2,147.32.84.170,57206,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,10,1561,1006,flow=From-Normal-V51-Stribrek,False,1.0
663235,2011/08/18 12:52:13.736501,0.004089,2,147.32.84.170,57207,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,10,1548,993,flow=From-Normal-V51-Stribrek,False,1.0
663236,2011/08/18 12:52:13.736516,0.004379,2,147.32.84.170,57208,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,10,1555,998,flow=From-Normal-V51-Stribrek,False,1.0
663237,2011/08/18 12:52:13.736550,0.004352,2,147.32.84.170,57209,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,10,1551,995,flow=From-Normal-V51-Stribrek,False,1.0
663238,2011/08/18 12:52:13.736905,0.00454,2,147.32.84.170,57210,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,10,1585,1029,flow=From-Normal-V51-Stribrek,False,1.0
663239,2011/08/18 12:52:13.738352,0.004388,2,147.32.84.170,57211,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,10,1564,1009,flow=From-Normal-V51-Stribrek,False,1.0
663240,2011/08/18 12:52:13.740282,0.003679,2,147.32.84.170,57212,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,10,1586,1030,flow=From-Normal-V51-Stribrek,False,1.0
663241,2011/08/18 12:52:13.740289,0.010303,2,147.32.84.170,57213,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,38,31766,1628,flow=From-Normal-V51-Stribrek,False,1.0
663247,2011/08/18 12:52:13.964393,0.004036,2,147.32.84.170,57214,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,10,1953,970,flow=From-Normal-V51-Stribrek,False,1.0
663590,2011/08/18 12:52:17.498383,3070.001221,1,147.32.84.137,123,  <->,82.208.56.89,123,CON,0.0,0.0,8,720,360,flow=To-Normal-V51-UDP-NTP-server,False,2.0
663723,2011/08/18 12:52:19.862986,0.00044400000000000006,1,147.32.84.170,47173,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
663724,2011/08/18 12:52:19.863824,0.00044400000000000006,1,147.32.84.170,57137,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
663725,2011/08/18 12:52:19.864744,0.017976,2,147.32.84.170,39354,   ->,209.85.148.104,80,FSA_FSA,0.0,0.0,6,412,272,flow=From-Normal-V51-Stribrek,False,1.0
663963,2011/08/18 12:52:23.505148,0.000412,1,147.32.84.170,55467,  <->,147.32.80.9,53,CON,0.0,0.0,2,244,81,flow=From-Normal-V51-Stribrek,False,1.0
663964,2011/08/18 12:52:23.505958,0.000286,1,147.32.84.170,56664,  <->,147.32.80.9,53,CON,0.0,0.0,2,280,81,flow=From-Normal-V51-Stribrek,False,1.0
663965,2011/08/18 12:52:23.507231,0.22964400000000001,2,147.32.84.170,60816,   ->,195.24.233.55,80,FSPA_FSPA,0.0,0.0,10,1219,549,flow=From-Normal-V51-Stribrek,False,1.0
664376,2011/08/18 12:52:29.862991,0.000495,1,147.32.84.170,37311,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
664377,2011/08/18 12:52:29.863992,0.000339,1,147.32.84.170,58473,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
664378,2011/08/18 12:52:29.865075,0.018429,2,147.32.84.170,40675,   ->,209.85.148.105,80,FSA_FSA,0.0,0.0,6,412,272,flow=From-Normal-V51-Stribrek,False,1.0
665094,2011/08/18 12:52:39.863093,0.000362,1,147.32.84.170,53259,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
665095,2011/08/18 12:52:39.863935,0.000334,1,147.32.84.170,53119,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
665096,2011/08/18 12:52:39.865028,0.018102,2,147.32.84.170,34676,   ->,209.85.148.99,80,FSA_FSA,0.0,0.0,6,412,272,flow=From-Normal-V51-Stribrek,False,1.0
665380,2011/08/18 12:52:45.060205,55.677498,2,147.32.84.164,34145,   ->,209.85.149.189,443,FSPA_FSPA,0.0,0.0,25,4852,3209,flow=From-Normal-V51-Grill,False,2.0
665652,2011/08/18 12:52:49.864347,0.000337,1,147.32.84.170,46137,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
665653,2011/08/18 12:52:49.865221,0.0003,1,147.32.84.170,33611,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
665654,2011/08/18 12:52:49.866317,0.018102,2,147.32.84.170,45998,   ->,209.85.148.104,80,FSA_FSA,0.0,0.0,6,412,272,flow=From-Normal-V51-Stribrek,False,1.0
666076,2011/08/18 12:52:54.509500,0.00029,1,147.32.84.170,37227,  <->,147.32.80.9,53,CON,0.0,0.0,2,244,81,flow=From-Normal-V51-Stribrek,False,1.0
666077,2011/08/18 12:52:54.510383,0.00028399999999999996,1,147.32.84.170,42569,  <->,147.32.80.9,53,CON,0.0,0.0,2,280,81,flow=From-Normal-V51-Stribrek,False,1.0
666078,2011/08/18 12:52:54.511641,0.240829,2,147.32.84.170,56728,   ->,195.24.233.55,80,FSPA_FSPA,0.0,0.0,10,1218,549,flow=From-Normal-V51-Stribrek,False,1.0
666578,2011/08/18 12:52:59.864270,0.000323,1,147.32.84.170,54508,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
666580,2011/08/18 12:52:59.865091,0.00035,1,147.32.84.170,40151,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
666581,2011/08/18 12:52:59.866165,0.019018,2,147.32.84.170,44040,   ->,209.85.148.147,80,FSA_FSA,0.0,0.0,7,478,272,flow=From-Normal-V51-Stribrek,False,1.0
667268,2011/08/18 12:53:09.864359,0.0004969999999999999,1,147.32.84.170,36144,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
667269,2011/08/18 12:53:09.865387,0.000327,1,147.32.84.170,40040,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
667270,2011/08/18 12:53:09.866474,0.018396,2,147.32.84.170,53270,   ->,209.85.148.105,80,FSA_FSA,0.0,0.0,6,412,272,flow=From-Normal-V51-Stribrek,False,1.0
667531,2011/08/18 12:53:13.553819,0.22315300000000002,2,147.32.84.170,48508,   ->,209.85.148.106,443,FSPA_FSPA,0.0,0.0,15,2044,875,flow=From-Normal-V51-Stribrek,False,1.0
667544,2011/08/18 12:53:13.769050,0.272621,2,147.32.84.170,48509,   ->,209.85.148.106,443,FSPA_FSPA,0.0,0.0,16,2649,1142,flow=From-Normal-V51-Stribrek,False,1.0
667559,2011/08/18 12:53:13.829077,0.24049,2,147.32.84.170,53133,   ->,209.85.148.105,443,FSPA_FSPA,0.0,0.0,15,2064,895,flow=From-Normal-V51-Stribrek,False,1.0
667580,2011/08/18 12:53:14.033528,0.26206,2,147.32.84.170,48511,   ->,209.85.148.106,443,FSPA_FSPA,0.0,0.0,16,2649,1142,flow=From-Normal-V51-Stribrek,False,1.0
667582,2011/08/18 12:53:14.061616,0.29011,2,147.32.84.170,53135,   ->,209.85.148.105,443,FSPA_FSPA,0.0,0.0,16,2677,1162,flow=From-Normal-V51-Stribrek,False,1.0
667594,2011/08/18 12:53:14.156923,0.000223,1,147.32.84.164,42901,  <->,147.32.80.9,53,CON,0.0,0.0,2,200,75,flow=From-Normal-V51-Grill,False,1.0
667595,2011/08/18 12:53:14.157430,0.000275,1,147.32.84.164,44540,  <->,147.32.80.9,53,CON,0.0,0.0,2,200,75,flow=From-Normal-V51-Grill,False,1.0
667596,2011/08/18 12:53:14.158010,0.0005009999999999999,1,147.32.84.164,39035,  <->,147.32.80.9,53,CON,0.0,0.0,2,542,75,flow=From-Normal-V51-Grill,False,1.0
667597,2011/08/18 12:53:14.159532,115.319397,2,147.32.84.164,58634,   ->,74.125.232.192,443,FSPA_FSPA,0.0,0.0,16,4340,2595,flow=From-Normal-V51-Grill,False,2.0
667609,2011/08/18 12:53:14.344100,0.241215,2,147.32.84.170,53136,   ->,209.85.148.105,443,FSPA_FSPA,0.0,0.0,16,2677,1162,flow=From-Normal-V51-Stribrek,False,1.0
667995,2011/08/18 12:53:19.863936,0.000359,1,147.32.84.170,43163,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
667996,2011/08/18 12:53:19.864819,0.000352,1,147.32.84.170,40534,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
667997,2011/08/18 12:53:19.865963,0.017651,2,147.32.84.170,46008,   ->,209.85.148.104,80,FSA_FSA,0.0,0.0,6,412,272,flow=From-Normal-V51-Stribrek,False,1.0
668332,2011/08/18 12:53:25.510857,0.00045,1,147.32.84.170,43045,  <->,147.32.80.9,53,CON,0.0,0.0,2,244,81,flow=From-Normal-V51-Stribrek,False,1.0
668333,2011/08/18 12:53:25.511712,0.00015800000000000002,1,147.32.84.170,46091,  <->,147.32.80.9,53,CON,0.0,0.0,2,280,81,flow=From-Normal-V51-Stribrek,False,0.0
668334,2011/08/18 12:53:25.515952,0.23645700000000003,2,147.32.84.170,56738,   ->,195.24.233.55,80,FSPA_FSPA,0.0,0.0,10,1219,549,flow=From-Normal-V51-Stribrek,False,1.0
668584,2011/08/18 12:53:29.864118,0.00035299999999999996,1,147.32.84.170,32895,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
668585,2011/08/18 12:53:29.864985,0.000455,1,147.32.84.170,34539,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
668586,2011/08/18 12:53:29.866303,0.018122,2,147.32.84.170,55967,   ->,209.85.148.103,80,FSA_FSA,0.0,0.0,6,412,272,flow=From-Normal-V51-Stribrek,False,1.0
669189,2011/08/18 12:53:39.864211,0.000389,1,147.32.84.170,46348,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
669190,2011/08/18 12:53:39.865025,0.000397,1,147.32.84.170,34837,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
669191,2011/08/18 12:53:39.866066,0.017958000000000002,2,147.32.84.170,44051,   ->,209.85.148.147,80,FSA_FSA,0.0,0.0,6,412,272,flow=From-Normal-V51-Stribrek,False,1.0
669234,2011/08/18 12:53:40.722645,0.000225,1,147.32.84.164,49669,  <->,147.32.80.9,53,CON,0.0,0.0,2,240,77,flow=From-Normal-V51-Grill,False,1.0
669235,2011/08/18 12:53:40.723220,0.00038500000000000003,1,147.32.84.164,33799,  <->,147.32.80.9,53,CON,0.0,0.0,2,342,77,flow=From-Normal-V51-Grill,False,1.0
669236,2011/08/18 12:53:40.724475,56.187828,2,147.32.84.164,34147,   ->,209.85.149.189,443,FSPA_FSPA,0.0,0.0,24,4574,3209,flow=From-Normal-V51-Grill,False,2.0
669705,2011/08/18 12:53:49.670176,0.000328,1,147.32.84.170,33151,  <->,147.32.80.9,53,CON,0.0,0.0,2,256,91,flow=From-Normal-V51-Stribrek,False,1.0
669706,2011/08/18 12:53:49.670907,0.00042199999999999996,1,147.32.84.170,38716,  <->,147.32.80.9,53,CON,0.0,0.0,2,598,91,flow=From-Normal-V51-Stribrek,False,1.0
669707,2011/08/18 12:53:49.672122,115.224167,2,147.32.84.170,57242,   ->,74.125.232.202,80,FSPA_FSPA,0.0,0.0,12,3314,1435,flow=From-Normal-V51-Stribrek,False,2.0
669713,2011/08/18 12:53:49.866869,0.000301,1,147.32.84.170,54690,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
669714,2011/08/18 12:53:49.867590,0.000348,1,147.32.84.170,57069,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
669715,2011/08/18 12:53:49.868345,0.017706,2,147.32.84.170,59293,   ->,209.85.148.106,80,FSA_FSA,0.0,0.0,6,412,272,flow=From-Normal-V51-Stribrek,False,1.0
669720,2011/08/18 12:53:49.895588,0.000263,1,147.32.84.170,53422,  <->,147.32.80.9,53,CON,0.0,0.0,2,263,89,flow=From-Normal-V51-Stribrek,False,1.0
669721,2011/08/18 12:53:49.896109,0.00027400000000000005,1,147.32.84.170,55540,  <->,147.32.80.9,53,CON,0.0,0.0,2,445,89,flow=From-Normal-V51-Stribrek,False,1.0
669722,2011/08/18 12:53:49.896890,116.014008,2,147.32.84.170,47611,   ->,209.85.149.139,80,FSPA_FSPA,0.0,0.0,198,195056,9673,flow=From-Normal-V51-Stribrek,False,2.0
670197,2011/08/18 12:53:56.516637,0.000286,1,147.32.84.170,58795,  <->,147.32.80.9,53,CON,0.0,0.0,2,244,81,flow=From-Normal-V51-Stribrek,False,1.0
670198,2011/08/18 12:53:56.517271,0.00032900000000000003,1,147.32.84.170,45688,  <->,147.32.80.9,53,CON,0.0,0.0,2,280,81,flow=From-Normal-V51-Stribrek,False,1.0
670199,2011/08/18 12:53:56.518609,0.210092,2,147.32.84.170,56744,   ->,195.24.233.55,80,FSPA_FSPA,0.0,0.0,10,1219,549,flow=From-Normal-V51-Stribrek,False,1.0
670419,2011/08/18 12:53:59.865234,0.00037200000000000004,1,147.32.84.170,55511,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
670420,2011/08/18 12:53:59.865934,0.000389,1,147.32.84.170,37406,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
670421,2011/08/18 12:53:59.866776,0.018634,2,147.32.84.170,34695,   ->,209.85.148.99,80,FSA_FSA,0.0,0.0,6,412,272,flow=From-Normal-V51-Stribrek,False,1.0
671091,2011/08/18 12:54:09.864217,0.00043,1,147.32.84.170,37033,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
671092,2011/08/18 12:54:09.865218,0.000388,1,147.32.84.170,35768,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
671093,2011/08/18 12:54:09.866364,0.017866999999999997,2,147.32.84.170,53286,   ->,209.85.148.105,80,FSA_FSA,0.0,0.0,6,412,272,flow=From-Normal-V51-Stribrek,False,1.0
671789,2011/08/18 12:54:18.812616,0.00023700000000000001,1,147.32.84.170,54960,  <->,147.32.80.9,53,CON,0.0,0.0,2,256,85,flow=From-Normal-V51-Stribrek,False,1.0
671790,2011/08/18 12:54:18.813234,0.000293,1,147.32.84.170,56260,  <->,147.32.80.9,53,CON,0.0,0.0,2,358,85,flow=From-Normal-V51-Stribrek,False,1.0
671791,2011/08/18 12:54:18.814187,246.50035099999997,2,147.32.84.170,43242,   ->,209.85.149.132,80,FSPA_FSPA,0.0,0.0,27,7176,1394,flow=From-Normal-V51-Stribrek,False,2.0
671792,2011/08/18 12:54:18.817012,0.000164,1,147.32.84.170,37731,  <->,147.32.80.9,53,CON,0.0,0.0,2,223,76,flow=From-Normal-V51-Stribrek,False,0.0
